POSLOG: Task 2.2 started with visuals: False
POSLOG: X: -358.52, Y:-4.917552, Z: 56.82005
POSLOG: X: -358.5059, Y:-4.917552, Z: 56.77619
POSLOG: X: -358.4899, Y:-4.917552, Z: 56.72656
POSLOG: X: -358.4716, Y:-4.917552, Z: 56.66951
POSLOG: X: -358.4592, Y:-4.917552, Z: 56.63097
POSLOG: X: -358.437, Y:-4.917552, Z: 56.56168
POSLOG: X: -358.4208, Y:-4.917552, Z: 56.51094
POSLOG: X: -358.4021, Y:-4.917552, Z: 56.45301
POSLOG: X: -358.3869, Y:-4.917552, Z: 56.40622
POSLOG: X: -358.3714, Y:-4.917552, Z: 56.35825
POSLOG: X: -358.3503, Y:-4.917552, Z: 56.29317
POSLOG: X: -358.3295, Y:-4.919989, Z: 56.22972
POSLOG: X: -358.3063, Y:-4.919989, Z: 56.15785
POSLOG: X: -358.2896, Y:-4.919989, Z: 56.10595
POSLOG: X: -358.2733, Y:-4.919989, Z: 56.05507
POSLOG: X: -358.25, Y:-4.923524, Z: 55.98279
POSLOG: X: -358.2357, Y:-4.923524, Z: 55.93845
POSLOG: X: -358.2155, Y:-4.923524, Z: 55.87564
POSLOG: X: -358.1946, Y:-4.923524, Z: 55.81072
POSLOG: X: -358.26, Y:-4.923524, Z: 55.81999
POSLOG: X: -358.2455, Y:-4.923524, Z: 55.77463
POSLOG: X: -358.17, Y:-4.919989, Z: 56.13
POSLOG: X: -358.03, Y:-4.917552, Z: 56.31
POSLOG: X: -357.83, Y:-4.917552, Z: 56.42
POSLOG: X: -357.69, Y:-4.917552, Z: 56.54
POSLOG: X: -357.62, Y:-4.917552, Z: 56.66
POSLOG: X: -357.62, Y:-4.917552, Z: 56.66
POSLOG: X: -357.62, Y:-4.917552, Z: 56.66
POSLOG: X: -357.55, Y:-4.917552, Z: 56.72
POSLOG: X: -357.48, Y:-4.917552, Z: 56.77999
POSLOG: X: -357.35, Y:-4.917552, Z: 56.9
POSLOG: X: -357.34, Y:-4.917552, Z: 56.96
POSLOG: X: -357.27, Y:-4.917552, Z: 57.08
POSLOG: X: -357.2, Y:-4.917552, Z: 57.14
POSLOG: X: -357.13, Y:-4.917552, Z: 57.2
POSLOG: X: -357.13, Y:-4.917552, Z: 57.2
POSLOG: X: -357.06, Y:-4.917552, Z: 57.38
POSLOG: X: -357.06, Y:-4.917552, Z: 57.38
POSLOG: X: -356.99, Y:-4.917552, Z: 57.38
POSLOG: X: -356.99, Y:-4.917552, Z: 57.44
POSLOG: X: -356.98, Y:-4.917552, Z: 57.51
POSLOG: X: -356.98, Y:-4.917552, Z: 57.51
POSLOG: X: -356.98, Y:-4.917552, Z: 57.57
POSLOG: X: -356.97, Y:-4.917552, Z: 57.7
POSLOG: X: -356.97, Y:-4.917552, Z: 57.7
POSLOG: X: -356.9, Y:-4.917552, Z: 57.82
POSLOG: X: -356.9, Y:-4.917552, Z: 57.82
POSLOG: X: -356.9, Y:-4.917552, Z: 57.82
POSLOG: X: -356.9, Y:-4.917552, Z: 57.82
POSLOG: X: -356.9, Y:-4.917552, Z: 57.82
POSLOG: X: -356.9, Y:-4.917552, Z: 57.82
POSLOG: X: -356.9, Y:-4.917552, Z: 57.82
POSLOG: X: -356.9, Y:-4.917552, Z: 57.82
POSLOG: X: -356.9, Y:-4.917552, Z: 57.82
POSLOG: X: -356.9, Y:-4.917552, Z: 57.82
POSLOG: X: -356.9, Y:-4.917552, Z: 57.82
POSLOG: X: -356.9, Y:-4.917552, Z: 57.82
POSLOG: X: -356.9, Y:-4.917552, Z: 57.82
POSLOG: X: -356.9, Y:-4.917552, Z: 57.82
POSLOG: X: -356.9, Y:-4.917552, Z: 57.82
