POSLOG: Task 2.2 started with visuals: True
POSLOG: X: -358.52, Y:-4.917552, Z: 56.82005
POSLOG: X: -358.52, Y:-4.917552, Z: 56.82005
POSLOG: X: -358.52, Y:-4.917552, Z: 56.82005
POSLOG: X: -358.52, Y:-4.917552, Z: 56.82005
POSLOG: X: -358.52, Y:-4.917552, Z: 56.82005
POSLOG: X: -358.52, Y:-4.917552, Z: 56.82005
POSLOG: X: -358.52, Y:-4.917552, Z: 56.82005
POSLOG: X: -358.52, Y:-4.917552, Z: 56.82005
POSLOG: X: -358.52, Y:-4.917552, Z: 56.82005
POSLOG: X: -358.52, Y:-4.917552, Z: 56.82005
POSLOG: X: -358.52, Y:-4.917552, Z: 56.82005
POSLOG: X: -358.52, Y:-4.917552, Z: 56.82005
POSLOG: X: -358.52, Y:-4.917552, Z: 56.82005
POSLOG: X: -358.52, Y:-4.917552, Z: 56.82005
POSLOG: X: -358.52, Y:-4.917552, Z: 56.82005
POSLOG: X: -358.52, Y:-4.917552, Z: 56.82004
POSLOG: X: -358.52, Y:-4.917552, Z: 56.82004
POSLOG: X: -358.52, Y:-4.917552, Z: 56.82004
POSLOG: X: -358.52, Y:-4.917552, Z: 56.82004
POSLOG: X: -358.52, Y:-4.917552, Z: 56.82004
POSLOG: X: -358.52, Y:-4.917552, Z: 56.82004
POSLOG: X: -358.52, Y:-4.917552, Z: 56.82004
POSLOG: X: -358.52, Y:-4.917552, Z: 56.82004
POSLOG: X: -358.52, Y:-4.917552, Z: 56.82003
POSLOG: X: -358.5199, Y:-4.917552, Z: 56.82003
POSLOG: X: -358.52, Y:-4.917552, Z: 56.82003
POSLOG: X: -358.52, Y:-4.917552, Z: 56.82003
POSLOG: X: -358.52, Y:-4.917552, Z: 56.82003
POSLOG: X: -358.52, Y:-4.917552, Z: 56.82003
POSLOG: X: -358.52, Y:-4.917552, Z: 56.82003
POSLOG: X: -358.52, Y:-4.917552, Z: 56.82003
POSLOG: X: -358.52, Y:-4.917552, Z: 56.82003
POSLOG: X: -358.52, Y:-4.917552, Z: 56.82003
POSLOG: X: -358.52, Y:-4.917552, Z: 56.82003
POSLOG: X: -358.52, Y:-4.917552, Z: 56.82003
POSLOG: X: -358.52, Y:-4.917552, Z: 56.82003
POSLOG: X: -358.5201, Y:-4.917552, Z: 56.82003
POSLOG: X: -358.52, Y:-4.917552, Z: 56.82003
POSLOG: X: -358.52, Y:-4.917552, Z: 56.82003
POSLOG: X: -358.52, Y:-4.917552, Z: 56.82003
POSLOG: X: -358.52, Y:-4.917552, Z: 56.82003
