POSLOG: Task 2 started for participant
POSLOG: Task 2 started for participant
POSLOG: Task 2.1 started with visuals: True
POSLOG: Task 2.1 started with visuals: True
POSLOG: Task 2.2 started with visuals: True
POSLOG: Task 2.2 started with visuals: True
POSLOG: Task 3 started for participant
POSLOG: Task 3 started for participant
POSLOG: Task 3.1 started with visuals: True
POSLOG: Task 3.1 started with visuals: True
POSLOG: X: -215.77, Y:-5.019987, Z: 38.88
POSLOG: X: -215.77, Y:-5.019987, Z: 38.88
POSLOG: X: -215.8905, Y:-4.867552, Z: 38.84051
POSLOG: X: -215.8905, Y:-4.867552, Z: 38.84051
POSLOG: X: -215.9042, Y:-4.867552, Z: 38.83604
POSLOG: X: -215.9042, Y:-4.867552, Z: 38.83604
POSLOG: X: -215.9042, Y:-4.867552, Z: 38.83604
POSLOG: X: -215.9042, Y:-4.867552, Z: 38.83604
POSLOG: X: -215.9042, Y:-4.867552, Z: 38.83604
POSLOG: X: -215.9042, Y:-4.867552, Z: 38.83604
POSLOG: X: -215.9042, Y:-4.867552, Z: 38.83604
POSLOG: X: -215.9042, Y:-4.867552, Z: 38.83604
POSLOG: X: -215.9042, Y:-4.867552, Z: 38.83604
POSLOG: X: -215.9042, Y:-4.867552, Z: 38.83604
POSLOG: X: -215.9042, Y:-4.867552, Z: 38.83604
POSLOG: X: -215.9042, Y:-4.867552, Z: 38.83604
POSLOG: X: -215.9042, Y:-4.867552, Z: 38.83604
POSLOG: X: -215.9042, Y:-4.867552, Z: 38.83604
POSLOG: X: -215.9042, Y:-4.867552, Z: 38.83604
POSLOG: X: -215.9042, Y:-4.867552, Z: 38.83604
POSLOG: X: -215.9042, Y:-4.867552, Z: 38.83604
POSLOG: X: -215.9042, Y:-4.867552, Z: 38.83604
POSLOG: X: -215.9042, Y:-4.867552, Z: 38.83604
POSLOG: X: -215.9042, Y:-4.867552, Z: 38.83604
POSLOG: X: -215.9042, Y:-4.867552, Z: 38.83604
POSLOG: X: -215.9042, Y:-4.867552, Z: 38.83604
POSLOG: X: -215.9042, Y:-4.867552, Z: 38.83604
POSLOG: X: -215.9042, Y:-4.867552, Z: 38.83604
POSLOG: X: -215.9042, Y:-4.867552, Z: 38.83604
POSLOG: X: -215.9042, Y:-4.867552, Z: 38.83604
POSLOG: X: -215.9042, Y:-4.867552, Z: 38.83604
POSLOG: X: -215.9042, Y:-4.867552, Z: 38.83604
POSLOG: X: -215.9042, Y:-4.867552, Z: 38.83604
POSLOG: X: -215.9042, Y:-4.867552, Z: 38.83604
POSLOG: X: -215.9042, Y:-4.867552, Z: 38.83604
POSLOG: X: -215.9042, Y:-4.867552, Z: 38.83604
POSLOG: X: -215.9042, Y:-4.867552, Z: 38.83604
POSLOG: X: -215.9042, Y:-4.867552, Z: 38.83604
POSLOG: X: -215.9042, Y:-4.867552, Z: 38.83604
POSLOG: X: -215.9042, Y:-4.867552, Z: 38.83604
POSLOG: X: -215.9042, Y:-4.867552, Z: 38.83604
POSLOG: X: -215.9042, Y:-4.867552, Z: 38.83604
POSLOG: X: -215.9042, Y:-4.867552, Z: 38.83604
POSLOG: X: -215.9042, Y:-4.867552, Z: 38.83604
POSLOG: X: -215.9042, Y:-4.867552, Z: 38.83604
POSLOG: X: -215.9042, Y:-4.867552, Z: 38.83604
POSLOG: X: -215.9042, Y:-4.867552, Z: 38.83604
POSLOG: X: -215.9042, Y:-4.867552, Z: 38.83604
POSLOG: X: -215.9042, Y:-4.867552, Z: 38.83604
POSLOG: X: -215.9042, Y:-4.867552, Z: 38.83604
POSLOG: X: -215.9042, Y:-4.867552, Z: 38.83604
POSLOG: X: -215.9042, Y:-4.867552, Z: 38.83604
POSLOG: X: -215.9042, Y:-4.867552, Z: 38.83604
POSLOG: X: -215.9042, Y:-4.867552, Z: 38.83604
POSLOG: X: -215.9042, Y:-4.867552, Z: 38.83604
POSLOG: X: -215.9042, Y:-4.867552, Z: 38.83604
POSLOG: X: -215.9042, Y:-4.867552, Z: 38.83604
POSLOG: X: -215.9042, Y:-4.867552, Z: 38.83604
POSLOG: X: -215.9042, Y:-4.867552, Z: 38.83604
POSLOG: X: -215.9042, Y:-4.867552, Z: 38.83604
POSLOG: X: -215.9042, Y:-4.867552, Z: 38.83604
POSLOG: X: -215.9042, Y:-4.867552, Z: 38.83604
POSLOG: X: -215.9042, Y:-4.867552, Z: 38.83604
POSLOG: X: -215.9042, Y:-4.867552, Z: 38.83604
POSLOG: X: -215.9042, Y:-4.867552, Z: 38.83604
POSLOG: X: -215.9042, Y:-4.867552, Z: 38.83604
POSLOG: X: -215.9042, Y:-4.867552, Z: 38.83604
POSLOG: X: -215.9042, Y:-4.867552, Z: 38.83604
POSLOG: X: -215.9042, Y:-4.867552, Z: 38.83604
POSLOG: X: -215.9042, Y:-4.867552, Z: 38.83604
POSLOG: X: -215.9042, Y:-4.867552, Z: 38.83604
POSLOG: X: -215.9042, Y:-4.867552, Z: 38.83604
POSLOG: X: -215.9042, Y:-4.867552, Z: 38.83604
POSLOG: X: -215.9042, Y:-4.867552, Z: 38.83604
POSLOG: X: -215.9042, Y:-4.867552, Z: 38.83604
POSLOG: X: -215.9042, Y:-4.867552, Z: 38.83604
POSLOG: X: -215.9042, Y:-4.867552, Z: 38.83604
POSLOG: X: -215.9042, Y:-4.867552, Z: 38.83604
POSLOG: X: -215.9042, Y:-4.867552, Z: 38.83604
POSLOG: X: -215.9042, Y:-4.867552, Z: 38.83604
POSLOG: X: -215.9042, Y:-4.867552, Z: 38.83604
POSLOG: X: -215.9042, Y:-4.867552, Z: 38.83604
POSLOG: X: -215.9042, Y:-4.867552, Z: 38.83604
POSLOG: X: -215.9042, Y:-4.867552, Z: 38.83604
POSLOG: X: -215.9042, Y:-4.867552, Z: 38.83604
POSLOG: X: -215.9042, Y:-4.867552, Z: 38.83604
POSLOG: X: -215.9042, Y:-4.867552, Z: 38.83604
POSLOG: X: -215.9042, Y:-4.867552, Z: 38.83604
POSLOG: X: -215.9042, Y:-4.867552, Z: 38.83604
POSLOG: X: -215.9042, Y:-4.867552, Z: 38.83604
POSLOG: X: -215.9042, Y:-4.867552, Z: 38.83604
POSLOG: X: -215.9042, Y:-4.867552, Z: 38.83604
POSLOG: X: -215.9042, Y:-4.867552, Z: 38.83604
POSLOG: X: -215.9042, Y:-4.867552, Z: 38.83604
POSLOG: X: -215.9042, Y:-4.867552, Z: 38.83604
POSLOG: X: -215.9042, Y:-4.867552, Z: 38.83604
POSLOG: X: -215.9042, Y:-4.867552, Z: 38.83604
POSLOG: X: -215.9042, Y:-4.867552, Z: 38.83604
POSLOG: X: -215.9042, Y:-4.867552, Z: 38.83604
POSLOG: X: -215.9042, Y:-4.867552, Z: 38.83604
POSLOG: X: -215.9042, Y:-4.867552, Z: 38.83604
POSLOG: X: -215.9042, Y:-4.867552, Z: 38.83604
POSLOG: X: -215.9042, Y:-4.867552, Z: 38.83604
POSLOG: X: -215.9042, Y:-4.867552, Z: 38.83604
POSLOG: X: -215.9042, Y:-4.867552, Z: 38.83604
POSLOG: X: -215.9042, Y:-4.867552, Z: 38.83604
POSLOG: X: -215.9042, Y:-4.867552, Z: 38.83604
POSLOG: X: -215.9042, Y:-4.867552, Z: 38.83604
POSLOG: X: -215.9042, Y:-4.867552, Z: 38.83604
POSLOG: X: -215.9042, Y:-4.867552, Z: 38.83604
POSLOG: X: -215.9042, Y:-4.867552, Z: 38.83604
POSLOG: X: -215.9042, Y:-4.867552, Z: 38.83604
POSLOG: X: -215.9042, Y:-4.867552, Z: 38.83604
POSLOG: X: -215.9042, Y:-4.867552, Z: 38.83604
POSLOG: X: -215.9042, Y:-4.867552, Z: 38.83604
POSLOG: X: -215.9042, Y:-4.867552, Z: 38.83604
POSLOG: X: -215.9042, Y:-4.867552, Z: 38.83604
POSLOG: X: -215.9042, Y:-4.867552, Z: 38.83604
POSLOG: X: -215.9042, Y:-4.867552, Z: 38.83604
POSLOG: X: -215.9042, Y:-4.867552, Z: 38.83604
POSLOG: X: -215.9042, Y:-4.867552, Z: 38.83604
POSLOG: X: -215.9042, Y:-4.867552, Z: 38.83604
POSLOG: X: -215.9042, Y:-4.867552, Z: 38.83604
POSLOG: X: -215.9042, Y:-4.867552, Z: 38.83604
POSLOG: X: -215.9042, Y:-4.867552, Z: 38.83604
POSLOG: X: -215.9042, Y:-4.867552, Z: 38.83604
POSLOG: X: -215.9042, Y:-4.867552, Z: 38.83604
POSLOG: X: -215.9042, Y:-4.867552, Z: 38.83604
POSLOG: X: -215.9042, Y:-4.867552, Z: 38.83604
POSLOG: X: -215.9042, Y:-4.867552, Z: 38.83604
POSLOG: X: -215.9042, Y:-4.867552, Z: 38.83604
POSLOG: X: -215.9042, Y:-4.867552, Z: 38.83604
POSLOG: X: -215.9042, Y:-4.867552, Z: 38.83604
POSLOG: X: -215.9042, Y:-4.867552, Z: 38.83604
POSLOG: X: -215.9042, Y:-4.867552, Z: 38.83604
POSLOG: X: -215.9042, Y:-4.867552, Z: 38.83604
POSLOG: X: -215.9042, Y:-4.867552, Z: 38.83604
POSLOG: X: -215.9042, Y:-4.867552, Z: 38.83604
POSLOG: X: -215.9042, Y:-4.867552, Z: 38.83604
POSLOG: X: -215.9042, Y:-4.867552, Z: 38.83604
POSLOG: X: -215.9042, Y:-4.867552, Z: 38.83604
POSLOG: X: -215.9042, Y:-4.867552, Z: 38.83604
POSLOG: X: -215.9042, Y:-4.867552, Z: 38.83604
POSLOG: X: -215.9042, Y:-4.867552, Z: 38.83604
POSLOG: X: -215.9042, Y:-4.867552, Z: 38.83604
POSLOG: X: -215.9042, Y:-4.867552, Z: 38.83604
POSLOG: X: -215.9042, Y:-4.867552, Z: 38.83604
POSLOG: X: -215.9042, Y:-4.867552, Z: 38.83604
POSLOG: X: -215.9042, Y:-4.867552, Z: 38.83604
POSLOG: X: -215.9042, Y:-4.867552, Z: 38.83604
POSLOG: X: -215.9042, Y:-4.867552, Z: 38.83604
POSLOG: X: -215.9042, Y:-4.867552, Z: 38.83604
POSLOG: X: -215.9042, Y:-4.867552, Z: 38.83604
POSLOG: X: -215.9042, Y:-4.867552, Z: 38.83604
POSLOG: X: -215.9042, Y:-4.867552, Z: 38.83604
POSLOG: X: -215.9042, Y:-4.867552, Z: 38.83604
POSLOG: X: -215.9042, Y:-4.867552, Z: 38.83604
POSLOG: X: -215.9042, Y:-4.867552, Z: 38.83604
POSLOG: X: -215.9042, Y:-4.867552, Z: 38.83604
POSLOG: X: -215.9042, Y:-4.867552, Z: 38.83604
POSLOG: X: -215.9042, Y:-4.867552, Z: 38.83604
POSLOG: X: -215.9042, Y:-4.867552, Z: 38.83604
POSLOG: X: -215.9042, Y:-4.867552, Z: 38.83604
POSLOG: X: -215.9042, Y:-4.867552, Z: 38.83604
POSLOG: X: -215.9042, Y:-4.867552, Z: 38.83604
POSLOG: X: -215.9042, Y:-4.867552, Z: 38.83604
POSLOG: X: -215.9042, Y:-4.867552, Z: 38.83604
POSLOG: X: -215.9042, Y:-4.867552, Z: 38.83604
POSLOG: X: -215.9042, Y:-4.867552, Z: 38.83604
POSLOG: X: -215.9042, Y:-4.867552, Z: 38.83604
POSLOG: X: -215.9042, Y:-4.867552, Z: 38.83604
POSLOG: X: -215.9042, Y:-4.867552, Z: 38.83604
POSLOG: X: -215.9042, Y:-4.867552, Z: 38.83604
POSLOG: X: -215.9042, Y:-4.867552, Z: 38.83604
POSLOG: X: -215.9042, Y:-4.867552, Z: 38.83603
POSLOG: X: -215.9042, Y:-4.867552, Z: 38.83603
POSLOG: X: -215.9042, Y:-4.867552, Z: 38.83603
POSLOG: X: -215.9042, Y:-4.867552, Z: 38.83603
POSLOG: X: -215.9042, Y:-4.867552, Z: 38.83603
POSLOG: X: -215.9042, Y:-4.867552, Z: 38.83603
POSLOG: X: -215.9042, Y:-4.867552, Z: 38.83603
POSLOG: X: -215.9042, Y:-4.867552, Z: 38.83603
POSLOG: X: -215.9042, Y:-4.867552, Z: 38.83603
POSLOG: X: -215.9042, Y:-4.867552, Z: 38.83603
POSLOG: X: -215.9042, Y:-4.867552, Z: 38.83603
POSLOG: X: -215.9042, Y:-4.867552, Z: 38.83603
POSLOG: X: -215.9042, Y:-4.867552, Z: 38.83603
POSLOG: X: -215.9042, Y:-4.867552, Z: 38.83603
POSLOG: X: -215.9042, Y:-4.867552, Z: 38.83603
POSLOG: X: -215.9042, Y:-4.867552, Z: 38.83603
POSLOG: X: -215.9042, Y:-4.867552, Z: 38.83603
POSLOG: X: -215.9042, Y:-4.867552, Z: 38.83603
POSLOG: X: -215.9042, Y:-4.867552, Z: 38.83603
POSLOG: X: -215.9042, Y:-4.867552, Z: 38.83603
POSLOG: X: -215.9042, Y:-4.867552, Z: 38.83603
POSLOG: X: -215.9042, Y:-4.867552, Z: 38.83603
POSLOG: X: -215.9042, Y:-4.867552, Z: 38.83603
POSLOG: X: -215.9042, Y:-4.867552, Z: 38.83603
POSLOG: X: -215.9042, Y:-4.867552, Z: 38.83603
POSLOG: X: -215.9042, Y:-4.867552, Z: 38.83603
POSLOG: X: -215.9042, Y:-4.867552, Z: 38.83603
