POSLOG: Task 2 started for participant
POSLOG: Task 2.1 started with visuals: False
POSLOG: X: -200.5, Y:-4.919981, Z: 52.11
POSLOG: X: -200.6407, Y:-4.917552, Z: 52.11569
POSLOG: X: -200.6648, Y:-4.917552, Z: 52.11666
POSLOG: X: -200.6648, Y:-4.917552, Z: 52.11666
POSLOG: X: -200.6648, Y:-4.917552, Z: 52.11666
POSLOG: X: -200.6648, Y:-4.917552, Z: 52.11666
POSLOG: X: -200.6648, Y:-4.917552, Z: 52.11666
POSLOG: X: -200.6648, Y:-4.917552, Z: 52.11666
POSLOG: X: -200.6648, Y:-4.917552, Z: 52.11666
POSLOG: X: -200.6648, Y:-4.917552, Z: 52.11666
POSLOG: X: -200.6648, Y:-4.917552, Z: 52.11666
POSLOG: X: -200.6648, Y:-4.917552, Z: 52.11665
POSLOG: X: -200.6648, Y:-4.917552, Z: 52.11665
POSLOG: X: -200.6648, Y:-4.917552, Z: 52.11665
POSLOG: X: -200.6648, Y:-4.917552, Z: 52.11665
POSLOG: X: -200.6648, Y:-4.917552, Z: 52.11665
POSLOG: X: -200.6648, Y:-4.917552, Z: 52.11665
POSLOG: X: -200.6648, Y:-4.917552, Z: 52.11665
POSLOG: X: -200.6648, Y:-4.917552, Z: 52.11665
POSLOG: X: -200.6648, Y:-4.917552, Z: 52.11665
POSLOG: X: -200.6648, Y:-4.917552, Z: 52.11665
POSLOG: X: -200.6648, Y:-4.917552, Z: 52.11665
POSLOG: X: -200.6648, Y:-4.917552, Z: 52.11665
POSLOG: X: -200.6648, Y:-4.917552, Z: 52.11665
POSLOG: X: -200.6648, Y:-4.917552, Z: 52.11665
POSLOG: X: -200.6648, Y:-4.917552, Z: 52.11665
POSLOG: X: -200.6648, Y:-4.917552, Z: 52.11665
POSLOG: X: -200.6648, Y:-4.917552, Z: 52.11665
POSLOG: X: -200.6648, Y:-4.917552, Z: 52.11665
POSLOG: X: -200.6648, Y:-4.917552, Z: 52.11665
POSLOG: X: -200.6648, Y:-4.917552, Z: 52.11665
POSLOG: X: -200.6648, Y:-4.917552, Z: 52.11665
POSLOG: X: -200.6648, Y:-4.917552, Z: 52.11665
POSLOG: X: -200.6648, Y:-4.917552, Z: 52.11665
POSLOG: X: -200.6648, Y:-4.917552, Z: 52.11665
POSLOG: X: -200.6648, Y:-4.917552, Z: 52.11665
