POSLOG: Task 3.2 started with visuals: False
POSLOG: X: -261.4, Y:-4.867552, Z: 57.139
POSLOG: X: -261.4, Y:-4.867552, Z: 57.139
POSLOG: X: -261.4, Y:-4.867552, Z: 57.139
POSLOG: X: -261.4, Y:-4.867552, Z: 57.139
POSLOG: X: -261.4, Y:-4.867552, Z: 57.139
POSLOG: X: -261.4, Y:-4.867552, Z: 57.139
POSLOG: X: -261.4, Y:-4.867552, Z: 57.139
POSLOG: X: -261.4, Y:-4.867552, Z: 57.139
POSLOG: X: -261.4, Y:-4.867552, Z: 57.139
POSLOG: X: -261.4, Y:-4.867552, Z: 57.139
POSLOG: X: -261.4, Y:-4.867552, Z: 57.139
POSLOG: X: -261.4, Y:-4.867552, Z: 57.139
POSLOG: X: -261.4, Y:-4.867552, Z: 57.139
POSLOG: X: -261.4, Y:-4.867552, Z: 57.139
POSLOG: X: -261.4, Y:-4.867552, Z: 57.139
POSLOG: X: -261.4, Y:-4.867552, Z: 57.139
POSLOG: X: -261.4, Y:-4.867552, Z: 57.139
POSLOG: X: -261.4, Y:-4.867552, Z: 57.139
POSLOG: X: -261.4, Y:-4.867552, Z: 57.139
POSLOG: X: -261.4, Y:-4.867552, Z: 57.139
POSLOG: X: -261.4, Y:-4.867552, Z: 57.139
POSLOG: X: -261.4, Y:-4.867552, Z: 57.139
POSLOG: X: -261.4, Y:-4.867552, Z: 57.139
POSLOG: X: -261.4, Y:-4.867552, Z: 57.139
POSLOG: X: -261.4, Y:-4.867552, Z: 57.139
POSLOG: X: -261.4, Y:-4.867552, Z: 57.139
POSLOG: X: -261.4, Y:-4.867552, Z: 57.139
POSLOG: X: -261.4, Y:-4.867552, Z: 57.139
POSLOG: X: -261.4, Y:-4.867552, Z: 57.139
POSLOG: X: -261.4, Y:-4.867552, Z: 57.139
POSLOG: X: -261.4, Y:-4.867552, Z: 57.139
POSLOG: X: -261.4, Y:-4.867552, Z: 57.139
POSLOG: X: -261.4, Y:-4.867552, Z: 57.139
POSLOG: X: -261.4, Y:-4.867552, Z: 57.139
POSLOG: X: -261.4, Y:-4.867552, Z: 57.139
POSLOG: X: -261.4, Y:-4.867552, Z: 57.139
POSLOG: X: -261.4, Y:-4.867552, Z: 57.139
POSLOG: X: -261.4, Y:-4.867552, Z: 57.139
POSLOG: X: -261.4, Y:-4.867552, Z: 57.139
POSLOG: X: -261.4, Y:-4.867552, Z: 57.139
POSLOG: X: -261.4, Y:-4.867552, Z: 57.139
POSLOG: X: -261.4, Y:-4.867552, Z: 57.139
