POSLOG: Task 2 started for participant
POSLOG: Task 2.1 started with visuals: False
POSLOG: X: -200.5, Y:-4.919981, Z: 52.11
POSLOG: X: -200.4544, Y:-4.867552, Z: 52.16772
POSLOG: X: -200.4383, Y:-4.867552, Z: 52.1881
POSLOG: X: -200.4383, Y:-4.867552, Z: 52.1881
POSLOG: X: -200.4383, Y:-4.867552, Z: 52.1881
POSLOG: X: -200.4383, Y:-4.867552, Z: 52.1881
POSLOG: X: -200.4383, Y:-4.867552, Z: 52.1881
POSLOG: X: -200.4383, Y:-4.867552, Z: 52.1881
POSLOG: X: -200.4383, Y:-4.867552, Z: 52.1881
POSLOG: X: -200.4383, Y:-4.867552, Z: 52.1881
POSLOG: X: -200.4383, Y:-4.867552, Z: 52.1881
POSLOG: X: -200.4383, Y:-4.867552, Z: 52.1881
POSLOG: X: -200.4383, Y:-4.867552, Z: 52.1881
POSLOG: X: -200.4383, Y:-4.867552, Z: 52.1881
POSLOG: X: -200.4383, Y:-4.867552, Z: 52.1881
POSLOG: X: -200.4383, Y:-4.867552, Z: 52.1881
POSLOG: X: -200.4383, Y:-4.867552, Z: 52.1881
POSLOG: X: -200.4383, Y:-4.867552, Z: 52.1881
POSLOG: X: -200.4383, Y:-4.867552, Z: 52.1881
POSLOG: X: -200.4383, Y:-4.867552, Z: 52.1881
POSLOG: X: -200.4383, Y:-4.867552, Z: 52.1881
POSLOG: X: -200.4383, Y:-4.867552, Z: 52.1881
POSLOG: X: -200.4383, Y:-4.867552, Z: 52.1881
POSLOG: X: -200.4383, Y:-4.867552, Z: 52.1881
POSLOG: X: -200.4383, Y:-4.867552, Z: 52.1881
POSLOG: X: -200.4383, Y:-4.867552, Z: 52.1881
POSLOG: X: -200.4383, Y:-4.867552, Z: 52.1881
POSLOG: X: -200.4383, Y:-4.867552, Z: 52.1881
POSLOG: X: -200.4383, Y:-4.867552, Z: 52.1881
POSLOG: X: -200.4383, Y:-4.867552, Z: 52.1881
POSLOG: X: -200.4383, Y:-4.867552, Z: 52.1881
