POSLOG: Task 2 started for participant
POSLOG: Task 2 started for participant
POSLOG: Task 2.1 started with visuals: True
POSLOG: Task 2.1 started with visuals: True
POSLOG: X: -200.5, Y:-5.899971, Z: 52.11
POSLOG: X: -200.5, Y:-5.899971, Z: 52.11
POSLOG: X: -200.6429, Y:-5.899971, Z: 52.11
POSLOG: X: -200.6429, Y:-5.899971, Z: 52.11
POSLOG: X: -200.6865, Y:-5.899971, Z: 52.11
POSLOG: X: -200.6865, Y:-5.899971, Z: 52.11
POSLOG: X: -200.6865, Y:-5.899971, Z: 52.11
POSLOG: X: -200.6865, Y:-5.899971, Z: 52.11
POSLOG: X: -200.6865, Y:-5.899971, Z: 52.11
POSLOG: X: -200.6865, Y:-5.899971, Z: 52.11
POSLOG: X: -200.6865, Y:-5.899971, Z: 52.11
POSLOG: X: -200.6865, Y:-5.899971, Z: 52.11
POSLOG: X: -200.6865, Y:-5.899971, Z: 52.11
POSLOG: X: -200.6865, Y:-5.899971, Z: 52.11
POSLOG: X: -200.6865, Y:-5.899971, Z: 52.11
POSLOG: X: -200.6865, Y:-5.899971, Z: 52.11
POSLOG: X: -200.6865, Y:-5.899971, Z: 52.11
POSLOG: X: -200.6865, Y:-5.899971, Z: 52.11
POSLOG: X: -200.6865, Y:-5.899971, Z: 52.11
POSLOG: X: -200.6865, Y:-5.899971, Z: 52.11
POSLOG: X: -200.6865, Y:-5.899971, Z: 52.11
POSLOG: X: -200.6865, Y:-5.899971, Z: 52.11
POSLOG: X: -200.6865, Y:-5.899971, Z: 52.11
POSLOG: X: -200.6865, Y:-5.899971, Z: 52.11
POSLOG: X: -200.6865, Y:-5.899971, Z: 52.11
POSLOG: X: -200.6865, Y:-5.899971, Z: 52.11
POSLOG: X: -200.6865, Y:-5.899971, Z: 52.11
POSLOG: X: -200.6865, Y:-5.899971, Z: 52.11
POSLOG: X: -200.6865, Y:-5.899971, Z: 52.11
POSLOG: X: -200.6865, Y:-5.899971, Z: 52.11
POSLOG: X: -200.6865, Y:-5.899971, Z: 52.11
POSLOG: X: -200.6865, Y:-5.899971, Z: 52.11
POSLOG: X: -200.6865, Y:-5.899971, Z: 52.11
POSLOG: X: -200.6865, Y:-5.899971, Z: 52.11
